LQD,1,6
LRCX,9,62
LSCC,5,81
LTBR,7,72
LTHM,3,17
LTRX,1,7
LULU,16,73
LUV,7,68
LVS,2,9
LXRX,4,55
LYG,1,9
M,22,138
MA,5,40
MAR,2,13
MARA,18,190
MARK,11,82
MAT,25,304
MAXR,43,110
MBII,1,8
MBOT,3,25
MBRX,2,36
MCD,10,39
MCK,1,10
MDB,7,75
MDCO,3,9
MDGL,4,40
MDGS,1,14
MDR,12,109
MDRX,1,8
MDT,4,36
MED,1,18
MEDP,1,26
MEET,3,18
MEIP,1,10
MELI,6,88
MGM,4,33
MGNX,11,111
MHK,1,22
MIC,1,13
MICT,13,56
MIME,2,34
MITK,1,22
MJ,29,70
MKC,1,10
MLCO,1,15
MLNT,8,81
MLNX,2,11
MLSS,1,16
MMM,3,25
MNGA,451,2090
MNK,6,111
MNKD,105,444
MNST,2,36
MO,20,63
MOH,1,18
MOMO,4,22
MOSY,20,153
MPC,2,11
MRIN,16,71
MRK,8,33
MRKR,7,40
MRNA,4,27
MRNS,6,34
MRO,5,60
MRTX,1,9
MRVL,3,11
MS,7,72
MSFT,93,195
MSI,1,16
MTBC,9,47
MTCH,7,36
MTD,2,14
MTDR,1,8
MTN,1,9
MTNB,4,27
MTP,107,1751
MTSL,4,22
MU,162,359
MUX,1,7
MVIS,5,47
MXWL,1,9
MYL,6,52
MYO,9,69
MYOK,1,15
MYSZ,21,73
NAK,159,859
NAKD,10,64
NAT,1,7
NAVB,3,19
NBEV,450,1207
NBIX,1,10
NBL,1,22
NBR,11,22
NBRV,2,20
NCLH,2,20
NCTY,13,294
NDRA,13,43
NEM,5,28
NEON,1,9
NEOS,1,13
NEPT,36,147
NETE,5,78
NFLX,247,662
NGD,7,93
NH,6,183
NIHD,4,42
NIO,321,1911
NK,15,386
NKE,23,187
NKTR,3,32
NLNK,2,19
NLSN,1,9
NMRD,3,70
NOG,17,52
NOK,11,53
NOW,3,15
NRZ,1,18
NSP,2,36
NSPR,18,82
NTAP,3,32
NTEC,1,9
NTES,6,30
NTGR,1,8
NTLA,2,18
NTNX,21,432
NTWK,37,268
NUE,1,6
NUGT,26,97
NUS,1,14
NVAX,98,445
NVCN,147,484
NVCR,2,19
NVDA,240,1128
NVLN,7,61
NVTA,11,60
NWL,16,278
NXPI,2,13
NXTD,33,117
O,1,7
OAS,5,28
OBLN,2,11
OCN,2,17
OCUL,7,53
OCX,3,26
ODP,3,24
OGEN,46,178
OHGI,46,180
OHI,1,13
OHRP,12,227
OIH,1,6
OILU,3,12
OKTA,3,21
OLED,4,30
OLN,1,9
OMED,10,129
OMER,33,116
OMI,1,24
ON,1,10
ONCE,6,146
ONCS,5,24
ONCY,4,24
ONDK,3,28
ONTX,1,9
ONVO,2,14
OPGN,6,39
OPHT,1,13
OPK,26,76
OPTT,9,113
ORCL,2,10
ORGO,5,21
ORPN,8,227
OSK,1,8
OSTK,120,326
OTIC,2,13
OVID,1,14
OXLC,2,17
OXY,1,12
PAGS,1,11
PALL,1,9
PANW,11,96
PAVM,8,23
PBI,2,19
PBR,1,12
PBYI,8,24
PCG,353,790
PDD,3,18
PE,1,8
PED,8,184
PEGI,1,21
PEI,1,11
PEP,5,50
PETQ,1,7
PETX,2,8
PFE,5,20
PFNX,2,19
PG,5,24
PGNX,3,11
PHUN,3,22
PIR,23,92
PIRS,1,8
PIXY,4,35
PLAG,14,256
PLAN,2,21
PLAY,1,7
PLCE,1,6
PLG,1,10
PLM,10,42
PLNT,6,47
PLUG,27,144
PLX,27,129
PM,3,17
PNC,1,9
PRGO,1,12
PRPO,53,425
PRTK,3,29
PRTY,2,10
PSEC,1,6
PSTG,2,19
PTI,40,650
PTIE,2,23
PTLA,14,59
PTN,16,105
PTX,166,817
PULM,92,402
PVG,1,8
PVTL,2,19
PXD,1,12
PXS,8,39
PYDS,1,9
PYPL,21,91
PYX,199,1435
PZZA,4,30
QCOM,19,71
QD,4,30
QLYS,2,30
QQQ,211,364
QRVO,1,9
QTNT,1,16
QTT,7,22
QURE,3,44
RACE,1,6
RAD,34,84
RARX,2,21
RBZ,33,716
RCII,1,9
RCL,1,6
RCUS,3,16
REGN,3,16
RESN,2,12
RF,1,8
RGLS,11,58
RGNX,2,17
RGSE,161,1388
RH,2,16
RHE,10,84
RHT,2,25
RIG,10,22
RIGL,2,15
RIO,1,8
RIOT,43,683
RKDA,55,875
RLM,1,20
RMD,2,20
RNN,40,163
ROKU,241,649
ROST,1,10
ROX,1,7
RPD,1,18
RRC,5,41
RRTS,5,65
RTN,2,11
RTTR,10,68
RUBI,1,25
RUN,2,15
RVNC,1,6
RVP,2,11
RWLK,142,716
S,3,12
SAEX,78,616
SAFM,1,6
SAGE,1,8
SAM,1,23
SAVE,1,8
SBGL,4,22
SBOT,13,71
SBUX,10,46
SCHW,1,11
SCON,1,15
SCYX,20,182
SDLP,1,8
SDOW,1,7
SDRL,1,6
SE,6,104
SEDG,3,22
SEE,1,7
SELB,4,29
SENS,17,72
SES,1,10
SESN,90,499
SFET,4,23
SFIX,5,22
SFM,1,8
SGMO,36,459
SGMS,2,40
SGYP,96,603
SHAK,5,57
SHIP,1,9
SHOP,40,250
SIEN,2,12
SIG,2,8
SINA,1,8
SINO,2,13
SIRI,9,18
SIX,4,56
SKX,8,105
SKYS,20,346
SLB,2,11
SLCA,1,12
SLDB,26,235
SLNO,1,12
SLS,9,74
SLV,11,39
SM,1,7
SMAR,2,14
SMH,5,26
SMMT,2,40
SMRT,1,15
SMSI,2,19
SN,12,38
SNAP,243,1411
SNCR,2,11
SND,1,8
SNE,3,17
SNES,20,112
SNGX,1,14
SNMP,1,8
SNNA,7,148
SNOA,1,15
SNPS,1,8
SNSS,2,63
SO,1,7
SOGO,7,23
SOLO,49,259
SONO,12,74
SORL,2,50
SOXL,8,32
SOXS,3,15
SOXX,4,21
SPEX,2,24
SPHS,21,42
SPI,17,388
SPLK,7,98
SPN,4,96
SPOT,9,43
SPPI,1,6
SPWR,12,86
SPXL,2,10
SPXS,2,14
SPY,987,3622
SQ,267,1163
SQBG,11,328
SQM,1,12
SQNS,1,24
SQQQ,18,48
SRAX,2,16
SREV,1,14
SRNE,11,174
SRPT,15,71
SRTS,1,10
SSI,1,9
SSNC,1,18
SSTI,4,24
SSYS,1,9
STAF,32,164
STAY,2,11
STI,1,12
STM,1,7
STMP,51,992
STNE,4,33
STX,1,6
STZ,6,18
SU,1,11
SUNW,3,63
SUPN,1,10
SVMK,3,43
SWCH,1,13
SWIR,15,198
SWK,1,8
SWKS,6,81
SWN,17,67
SXTC,1,26
SYF,1,8
SYMC,1,7
SYN,4,29
T,36,147
TAP,3,36
TBLT,30,154
TCON,7,28
TD,1,11
TDG,1,12
TDOC,6,63
TEAM,3,19
TECK,2,18
TELL,1,7
TENX,40,220
TEUM,149,889
TEVA,16,145
TGB,1,9
TGT,9,27
TGTX,12,220
THC,1,18
TIF,1,14
TJX,3,26
TLGT,1,17
TLND,3,83
TLRD,1,19
TLRY,111,452
TLT,10,44
TMDI,2,13
TME,8,90
TMUS,2,10
TNA,1,9
TNDM,54,298
TNET,2,56
TNXP,8,31
TOL,2,19
TOPS,90,252
TPR,1,11
TPX,1,16
TQQQ,12,28
TRCH,16,72
TREE,1,7
TRGP,1,9
TRIL,11,162
TRIP,3,34
TROV,7,55
TRPX,5,26
TRQ,1,17
TRVG,1,6
TRVN,249,1190
TRXC,203,673
TSLA,493,1624
TSN,1,11
TTD,25,181
TTNP,160,793
TTOO,6,86
TTPH,25,69
TTWO,59,446
TUP,1,6
TVIX,100,264
TVTY,2,15
TWLO,60,583
TWOU,1,18
TWTR,99,647
TXMD,37,170
TXN,2,12
TYHT,4,39
TYME,1,17
TZA,5,21
TZOO,1,10
UA,3,28
UAA,12,187
UAL,2,10
UAVS,10,43
UBNT,10,42
UCTT,1,10
UEC,1,12
UGAZ,184,617
UHS,1,9
UIS,1,27
ULTA,2,18
UNFI,2,12
UNG,6,30
UNH,12,166
UNIT,35,311
UNP,2,13
UPL,18,135
UPRO,1,8
UPS,2,10
UPWK,1,11
URBN,1,7
URI,2,11
USAT,12,152
USAU,1,9
USB,1,6
USO,26,72
USX,2,15
UTX,1,7
UUP,3,12
UUU,1,8
UVXY,44,109
UWT,81,198
UXIN,50,196
V,17,62
VAC,1,9
VALE,12,156
VCEL,9,59
VEEV,7,76
VERI,2,30
VERU,2,18
VG,1,9
VHC,21,195
VIPS,5,47
VIRT,2,12
VIXY,1,7
VKTX,57,187
VLO,1,8
VLRX,44,239
VMW,4,46
VNDA,3,39
VRTX,1,10
VSI,1,17
VSM,1,31
VSTM,85,208
VTGN,3,15
VTL,15,144
VTVT,20,197
VUZI,39,111
VVUS,1,23
VXX,5,20
VYGR,1,9
VZ,10,26
W,17,114
WAB,3,22
WATT,124,475
WB,6,43
WBA,3,43
WDAY,9,116
WDC,17,115
WEN,2,13
WETF,1,12
WFC,7,51
WFT,106,289
WGO,1,7
WHR,1,6
WIN,23,215
WING,1,9
WIX,4,31
WKHS,2,24
WLK,1,8
WLL,8,63
WM,3,26
WMB,1,9
WMT,34,242
WPM,1,9
WPRT,1,7
WPX,1,7
WSM,1,7
WTER,3,20
WTI,8,38
WTW,46,666
WUBA,1,18
WWE,2,10
WWR,4,35
WYNN,3,28
WYY,7,23
X,33,82
XBI,34,84
XBIO,1,18
XEC,1,8
XERS,1,10
XGTI,1,11
XHB,1,8
XLE,10,45
XLF,11,51
XLK,16,52
XLNX,8,41
XLP,2,10
XLRN,2,33
XLU,3,18
XLV,3,16
XLY,2,13
XNET,9,120
XOG,1,13
XOM,7,42
XON,5,31
XONE,1,6
XOP,4,22
XPO,9,157
XRT,2,25
XRX,1,10
XSPA,22,101
XTNT,7,43
XXII,79,493
YELP,10,102
YETI,7,105
YEXT,1,7
YGYI,8,155
YINN,1,6
YRCW,1,6
YRIV,81,426
YTEN,3,53
YUMA,26,250
YVR,1,23
YY,12,55
Z,4,40
ZAYO,1,14
ZEN,3,16
ZG,1,12
ZIOP,2,12
ZKIN,28,157
ZNGA,11,52
ZS,3,28
ZSAN,121,2148
ZUO,10,78
ZYNE,4,77
