01cu812,,2019-06-06 15:55:00,11.825,UWT Sold my DWT All cash
LasVegas2018,,2019-06-06 14:34:00,11.732,UWT all fake numbers came out exposed lol
Entrepredoer,True,2019-06-06 14:34:00,11.732,BAS Waiting for the oil spike to hit here hopefully checking out UWT bought some in 1070s
FoolMeTwice,,2019-06-06 14:34:00,11.732,UWT USO boy is that bullish
AV8,,2019-06-06 14:34:00,11.732,UWT DWT USO Yepcarried it through the pit close like I thought they wouldnow just depends on whether theyre going toreset the chart for the next leg lower or print a doji on the weekly which would signal a pause or reversal in pattern
TTMcGee,,2019-06-06 14:33:00,11.536,CLF USO UWT DWT OKwhat a great SELLING OPPORTUNITYI now have 5 CL short again from 5650 5260 5230 5180 and 5180 Now time to rest and make lots of money by Friday close gl everyone
AmanAsmaro,False,2019-06-06 14:32:00,11.43,UWT DWT USO no news oversold back down again added more dwt
TTMcGee,,2019-06-06 14:30:00,11.42,CLF USO UWT DWT And 1 more at 5260
themoneytrail,True,2019-06-06 14:29:00,11.433,UWT Any news fellas Or is this move just the big bounce from oversold conditions we were expecting
russellkbrett,,2019-06-06 14:28:00,11.39,USO UWT HAL VLO Big buying spike in Crude here
nytrader60,True,2019-06-06 14:27:00,11.338,UWT Run baby run Gap up in the morning may be extreme move
nytrader60,True,2019-06-06 14:26:00,11.236,UWT noice Maintain hold IMO
DayDreamingFUND,,2019-06-06 14:25:00,11.237,UWT running to the future close smart bears are heading to the bankgo GUSH go
TTMcGee,,2019-06-06 14:25:00,11.237,CLF USO UWT DWT Short added at 5230
TTMcGee,,2019-06-06 14:18:00,11.02,CLF USO UWT DWT FAKE BULLJust WEAK SHORTS covering into closeNOT STRONG BUYERS
nytrader60,True,2019-06-06 14:10:00,10.921,UWT looks like we can have a nice gap up tomorrow open
TTMcGee,,2019-06-06 14:07:00,10.866,CLF USO UWT DWT Added short back on at 5180now 2 short at 5180 and 1 at 5650there are no strong buyers herelower we go
CMT007,True,2019-06-06 14:05:00,10.918,Buying UGAZ UWT and adding more XRPX Good Luck to all
TTMcGee,,2019-06-06 13:57:00,10.895,CLF USO UWT DWT Removed 1 CL short at 5175 from 5160 for 15 tick to reduce overnight riskstill holding 2 CL short from 5650 and 5180 for now gl
vb420,True,2019-06-06 13:51:00,10.944,UWT finally green Will this remain green today
TTMcGee,,2019-06-06 13:37:00,10.799,CLF USO UWT DWT
AV8,,2019-06-06 13:34:00,10.763,UWT DWT USO Wonder if theyll run it like they did yesterday at this time but this time carry it into the close
themoneytrail,,2019-06-06 13:31:00,10.753,UGAZ or UWT Which one to buy today for a swing
GordonGekko888,False,2019-06-06 13:27:00,10.81,USO CLF UWT RIG OAS Every Battle is won BEFORE its ever fought The Bears have ALREADY WON the battle for 474442 You BullTards just know it yet
Levimusic,,2019-06-06 13:23:00,10.726,UWT another dip coming at the pit close to end the day lower for oil
TTMcGee,,2019-06-06 13:22:00,10.735,CLF USO UWT DWT Now holding 3 Short from 5650 5180 and 5160LET DO THIS BEARS
Lionhearted1,,2019-06-06 12:58:00,10.778,UWT cant find history
Lionhearted1,False,2019-06-06 12:52:00,10.772,UGAZ UWT guys you Know well what Trump did with Natural gas he will do the same thing to Crude Oil He will bring oil to the floor More chances I see for UWT reverse split by next month or max end of August
LasVegas2018,,2019-06-06 12:52:00,10.772,UWT tomorrow is another report day isnt it
LasVegas2018,,2019-06-06 12:48:00,10.815,UWT bears are extremely weak today
gtitrader,,2019-06-06 12:43:00,10.79,UWT how low can oil go
AV8,,2019-06-06 12:41:00,10.753,UWT DWT USO Hourly looks like its trying to form an inverted hammer or shooting star after a doji printsee what they decide in the next 19 minutes
TTMcGee,,2019-06-06 12:40:00,10.771,CLF USO UWT DWT Here come big payday for bear AGAIN
metalstringdom,,2019-06-06 12:38:00,10.764,UWT Crude is green this is not Scammers lol
TTMcGee,,2019-06-06 12:35:00,10.853,CLF USO UWT DWT Still holding 2 short from 5160 and 5650bulls are running out of time
AV8,,2019-06-06 12:21:00,10.882,UWT DWT USO Choppy today but wouldnt surprise me too see the hourly make a run higher soon
TTMcGee,,2019-06-06 12:08:00,10.779,CLF USO UWT DWT 175 TICK so far todaylets make some MOAR MONEY BEARS
TTMcGee,,2019-06-06 12:01:00,10.778,CLF USO UWT DWT Short 1 CL at 5160 AGAIN
FoolMeTwice,,2019-06-06 12:00:00,10.72,USO UWT There goes the dollar chart indicating oil wants lower but currencies are telling a different story
OhioJim,False,2019-06-06 11:55:00,10.71,GUSH UWT When oil reversesand it will UWT is the play But until then stay away from these 2 The 3x in punishing in a downtrend or flat trend
nytrader60,True,2019-06-06 11:55:00,10.71,UWT Forget Barrons article They blow a horn on when to buy or sell for that matter
Bull_is_Here,,2019-06-06 11:54:00,10.71,DWT UWT it is a roller coaster ride small up and big down
nytrader60,,2019-06-06 11:54:00,10.71,UWT ok come on here we go
nytrader60,True,2019-06-06 11:53:00,10.693,UWT Hold the line Saudi and Russia chatter
TTMcGee,,2019-06-06 11:53:00,10.693,CLF USO UWT DWT Stupit oil bullslol
TTMcGee,,2019-06-06 11:51:00,10.56,CLF USO UWT DWT Closed last CL short at 5125 from 5175 for ANOTHER 50 EZ PZ TICK
LasVegas2018,False,2019-06-06 11:50:00,10.627,UWT
AmanAsmaro,False,2019-06-06 11:44:00,10.716,DWT UWT USO In dwt oil can go under 50 really soon
Esox,,2019-06-06 11:42:00,10.726,UWT Oil as bad as the rest of the markets now Just sit and chop and wait for the instant sunshine and rainbows
TTMcGee,,2019-06-06 11:39:00,10.69,CLF USO UWT DWT Closed 1 more short at 5150 from 52 for ANOTHER 50 EZ PZ TICKStill holding 2 short from 5650 and 5175 now Will add more later 125 EZ PZ tick so far today
nytrader60,True,2019-06-06 11:29:00,10.847,UWT I anticipate a good spike to 55 as soon as tomorrow But thats me
sabre666,,2019-06-06 11:23:00,10.757,UWT USO CLF 50 is going to be testedDont have any delusions to the contrary
TTMcGee,,2019-06-06 11:20:00,10.762,CLF USO UWT DWT Lower highs all day long
ParanormalTrader,,2019-06-06 11:19:00,10.8,UWT i suppose were headed for 9s again
nytrader60,True,2019-06-06 11:17:00,10.741,UWT The oil man is back In with 5000 at 1080 Its time
TTMcGee,,2019-06-06 11:13:00,10.786,CLF USO UWT DWT Im a little piggie who wants MOAR
TTMcGee,,2019-06-06 11:11:00,10.875,CLF USO UWT DWT Added 1 CL short at 5175 again
TTMcGee,,2019-06-06 10:59:00,10.745,CLF USO UWT DWT Oil is so easy to short because BULL CANT EVEN CHALLENGE BEAR TRAILING STOPShort at willlol
ChartMill,,2019-06-06 10:59:00,10.745,The technical rating of UWT is bad and it also does not present a quality setup at the moment chartmillcomanalyzephpu
bearsack,False,2019-06-06 10:58:00,10.754,UWT DWT Funny thing about trading fibs they work in both directions Just like drawing lines they only work if you know where to put them 618 now broken on both trends Rough couple months ahead for crude 4hr chart inside
TTMcGee,,2019-06-06 10:56:00,10.765,CLF USO UWT DWT 75 EZ PZ TICK shorting oil todaystill holding 2 short from 5200 and 5650
TheSkepticizer,,2019-06-06 10:56:00,10.765,UGAZ UWT US producers do not know how to control price to their advantage Pump faster seems to be the only thing they know
TTMcGee,,2019-06-06 10:55:00,10.735,CLF USO UWT DWT Covered short at 5150 from 5180 for ANOTHER 30 EZ PZ MONEY
TTMcGee,,2019-06-06 10:49:00,10.82,CLF USO UWT DWT Added 1 short back at 5180
themoneytrail,True,2019-06-06 10:45:00,10.935,UWT uwt took a 4 hit on the natgas report at 1030 but it is now rebounding strong OIL Seems to be building a good base at 5170 area
TTMcGee,,2019-06-06 10:42:00,10.886,CLF USO UWT DWT Traders still waiting to short oil
sabre666,,2019-06-06 10:35:00,10.683,UWT USO CLF 49xx is happening today or tomorrow Take your pick
TTMcGee,,2019-06-06 10:33:00,10.609,CLF USO UWT DWT Closed 1 short at 5125 from 5170 for ANOTHER 45 EZ PZ TICKstill holding 2 short from 52 and 5650
GordonGekko888,False,2019-06-06 10:30:00,10.615,USO CLF UWT OAS RIG You maggots better take the 5170 Gift Bulls r trying to defend 50 with everything they have because once broken we go right to 474442 But they cant defend forever DUMP or be DUMPED ON
Luigi2384,False,2019-06-06 10:25:00,10.855,UWT DWT Is not healthy to keep the price this high when is supposed to be lower just thinking out loud
themoneytrail,True,2019-06-06 10:20:00,10.943,UWT The V bottom was yesterday this feels like its building cause to gush
AV8,,2019-06-06 10:07:00,11.005,UWT DWT USO Not so sure they dont try and slap a 49 handle on this today when no ones looking and try and V bounce it from therehope not though it would cause some problems no doubt
optionbob,,2019-06-06 10:02:00,10.902,Closed position in UWT 3x bullish oil in at 1071 out at 1085 for 131
TTMcGee,,2019-06-06 09:58:00,10.914,CLF USO UWT DWT Added 1 more CL short overnight Now have 3 CL short from 5650 5200 and 5170LETS DO THIS OIL BEARS
Rodzilla01,,2019-06-06 09:48:00,10.83,UWT BAS NBR LONE LLEX Oil Market Disparity As Trader investingcomanalysisoil
optionbob,,2019-06-06 09:42:00,10.937,Not liking the price action in oil Will close position in UWT today
DayDreamingFUND,,2019-06-06 09:41:00,10.94,energy sector is showing sign of bottoming with XLE leading the way regaining all the losses back from yesterday look for GUSH to catch up too many shorts here we need UWT oil to give more signals prices are good here if u r a longer term holder12 in for me or wait for better priceshow much better
