mavericksfd,1.29,11.11,1.0,0.0
SerialStockGains,1.29,0.35,1.0,0.0
InsomniaLife,1.2,12.88,44.0,11.0
samzaidii,1.18,25.0,1.0,0.0
tradebrave7,1.17,3.77,1.0,1.0
Whipps88,1.14,100.0,3.0,4.0
BigDipper26,0.95,5.88,1.0,0.0
riskybitness2,0.95,100.0,1.0,0.0
Tothetopwego,0.95,12.5,1.0,0.0
23timers,0.88,6.67,2.0,0.0
Duke3301,0.8,16.67,1.0,1.0
DAC21,0.8,3.33,1.0,0.0
DarnCasino,0.8,0.71,1.0,0.0
dubledown,0.8,1.85,1.0,0.0
constantlygreen,0.77,3.7,10.0,0.0
HostessCityTrading,0.63,5.68,5.0,0.0
Tyler3600,0.57,0.78,2.0,0.0
yourbuddystoo,0.44,4.17,1.0,0.0
DayTrader001,0.44,100.0,1.0,0.0
ALWAYSxBULLISH,0.39,4.76,5.0,0.0
rickdiculous81789,0.3,0.45,2.0,0.0
BorgVestor,0.15,25.0,1.0,0.0
Zap360,0.13,0.88,1.0,0.0
Brinkstamp,0.13,1.3,1.0,0.0
shorttermtrader,0.13,1.22,1.0,0.0
BrazenTrader,0.13,2.63,1.0,0.0
OLoAz,0.13,5.56,1.0,0.0
MetroStockTrader,0.13,10.0,1.0,0.0
fisherman17,0.13,1.52,1.0,0.0
BullMaan,0.13,7.69,1.0,0.0
StockAlerts77,0.12,1.25,3.0,2.0
Rodzilla01,0.08,0.16,1.0,0.0
ThisIsPatrik,0.08,0.65,1.0,0.0
CrazyTicker,0.08,0.92,1.0,0.0
soyelmarce,0.08,3.23,1.0,0.0
BuyinDipz,0.08,0.58,1.0,0.0
halonantony,0.08,20.0,1.0,0.0
mrstealurgirl2,0.08,3.57,1.0,0.0
yuepingxiao,0.0,3.31,2.0,2.0
Wilsonian,0.0,10.0,1.0,1.0
TheStockSpartan,0.0,2.99,1.0,1.0
Code14,0.0,2.9,1.0,1.0
SpongeBobSlapPants,-0.08,1.2,0.0,1.0
sevenxs,-0.11,0.19,0.0,1.0
19birdies,-0.11,4.76,0.0,1.0
SensaiFil,-0.13,5.88,0.0,1.0
calecy,-0.15,3.33,0.0,1.0
TrumpItUp,-0.36,4.11,2.0,1.0
DreadPirateLogan,-0.5,100.0,3.0,2.0
GorillaGlue2020,-0.6,7.02,3.0,1.0
r3drum187,-0.66,0.44,0.0,1.0
Diamontologist,-0.66,1.82,0.0,1.0
Gottstocks,-0.66,1.35,0.0,1.0
Bearhugz,-0.92,4.35,0.0,1.0
Emics,-0.99,2.94,0.0,1.0
TradeProgression,-0.99,2.56,0.0,1.0
SlimLegs,-0.99,2.38,0.0,1.0
Sexaddict,-0.99,0.45,0.0,1.0
humour,-1.49,2.63,0.0,1.0
mcdertbag,-1.5,3.23,0.0,1.0
kingraq,-1.55,100.0,2.0,1.0
WheresMyBREAD,-1.56,57.5,13.0,10.0
FREEDISCORDINBIO,-1.62,4.05,2.0,1.0
dillweed7,-1.65,3.23,0.0,3.0
traderman9,-1.85,13.04,1.0,2.0
eugenelysak,-2.5,2.13,0.0,1.0
Spoder,-2.5,14.29,0.0,1.0
OAHZ,-2.5,6.67,0.0,1.0
harry2hill,-2.5,2.33,0.0,1.0
dohnny,-2.54,61.11,6.0,5.0
Rhys08,-2.65,8.11,2.0,1.0
Ousso1991,-2.7,66.67,1.0,1.0
TheStockSinatra,-2.79,0.6,1.0,1.0
ankikitic,-2.84,5.26,1.0,3.0
DarkSithofTheStock,-2.9,20.0,2.0,2.0
ReissCT,-2.97,7.46,1.0,4.0
BorB,-2.98,4.65,0.0,2.0
MrDowJonez,-3.14,100.0,0.0,1.0
ondinatrade,-3.14,33.33,0.0,1.0
JohnnyBanana,-3.14,25.0,0.0,1.0
BullishTradings,-3.27,1.56,4.0,2.0
collucho,-3.3,11.54,2.0,1.0
Maxxwall,-3.34,2.03,3.0,4.0
lurodriguez3rd,-3.36,2.94,0.0,1.0
Rigoberta,-3.36,100.0,0.0,1.0
Holditorloseit,-3.36,50.0,0.0,1.0
briald,-3.36,14.29,0.0,1.0
csu,-3.44,100.0,8.0,7.0
greedandfear101,-3.49,1.08,0.0,1.0
ChuckDoesStuff,-3.76,4.35,0.0,1.0
AZona,-4.07,16.67,0.0,1.0
TRADE4RICHES,-4.16,0.25,0.0,1.0
GoSox,-4.16,1.19,0.0,1.0
BishBish,-4.18,0.78,0.0,2.0
OptoGeek,-4.47,21.95,2.0,7.0
rvansomeren,-4.63,1.22,2.0,1.0
jpoole524,-4.67,18.18,1.0,1.0
D1Catcher7,-4.67,11.76,1.0,1.0
fiveyearminimum,-5.33,1.45,0.0,1.0
