Bang4Buck,,2019-02-15 10:44:00,257.661,FYI based on Pres T tweet Guess NO DEAL No difference Stocks massively Overpriced COMPQ DJIA SPX SPY RUT QQQ DIA ESF YMF
markethistory,,2019-02-15 10:43:00,257.763,Biggest long term problem for stocks weakening labor marketbullmarketscoretailcrashSPX SPY ESF IWM RUT DJIA DIA COMPQ NDX
Bang4Buck,,2019-02-15 10:37:00,257.607,IMO no earnings numbers of any kind can B reported to justify the extremely hi prices SPX SPY QQQ DIA DJIA COMPQ RUT ESF YMF
S2b,,2019-02-15 10:30:00,257.592,TVIX SPY QQQ DIA IWM USO To all of the Option traders Happy Expiration Day my friends
SmallShare,,2019-02-15 10:29:00,257.56,DIA slow and steady youtubecomwatchvdAxErwO
andersonsadvice,,2019-02-15 10:27:00,257.63,DIA Straight ripping too bad AAPL not participating to put this up 2
joshualuce,,2019-02-15 10:27:00,257.63,DIA money coming in on ex dividend date
Lucky_UP,True,2019-02-15 10:27:00,257.63,DIA let get 1000 rise today
Trade_to_Profit,,2019-02-15 10:27:00,257.63,SPY DIA nice
cybercash28,,2019-02-15 10:25:00,257.529,SPY DIA IWM NDX Mrkt so strong if U see differently then we R on different planets
joshualuce,,2019-02-15 10:14:00,257.23,DIA whats with massive jump in dividend yield
EWavePlayer,True,2019-02-15 10:11:00,257.057,SPY Confidence leads to convictionthen euphoria Believers got us this far far from extreme DIA QQQ SPX XLF IMW EEM
MAtheMEATLOAF7,,2019-02-15 10:03:00,257.1,DIA SPY QQQ SPX DJIA dow hourly updated rising wedge breakout were approaching the 1st major levelarea of resistance for daily HS
EWavePlayer,True,2019-02-15 10:02:00,257.02,SPY RSIHealthy upper end of range still well in check DIA QQQ SPX XLF IMW EEM
ChartMill,,2019-02-15 10:01:00,257.022,DIA has an average volume of 5216590 This is a good sign as it is always nice to have a liquid stock chartmillcomanalyzephpu
EWavePlayer,True,2019-02-15 09:57:00,257.099,SPY Reversal on large scale No worries looks as it should DIA QQQ SPX XLF IMW EEM
TheTradingAnalyst,,2019-02-15 09:51:00,256.904,Weak retail numbers they said Red futures they said Blah blah blah markets ripping higher once again SPX SPY XLF QQQ DIA VIX NFLX
aztmm,True,2019-02-15 09:48:00,257.1,DJIA DIA UDOW Thats a strong start despite uncertainty over trade STWIT
briefingcom,,2019-02-15 09:47:00,257.073,Stocks Open Higher in BroadBased Advance SPY DIA QQQ XLF XLB XLE XLRE XLU TNX USDX briefingcominvestormarke
debjm,,2019-02-15 09:41:00,256.826,DJIA DIA although Stalemate on the important stuff Cnbc news cnbccom20190215steven
Ro_Patel,,2019-02-15 09:38:00,256.636,Treasury Secretary Steven Mnuchin sounded a positive note on Friday as USChina trade talks SPY ESF SPX QQQ DIA IWM
GreekGods,,2019-02-15 09:36:00,256.638,DIA SPY QQQ All time highs will be reached with this crazy market no reason or explanation except billionaires are bulls and bought dip
GreekGods,,2019-02-15 09:33:00,256.382,SPY QQQ DIA Dont know what it is but Trump is the best stock market bull ever and has the magic formula for gains
