Vad1997,True,2019-02-14 15:55:00,11.272,CLF next leg up
beekers,,2019-02-14 14:32:00,11.23,CLF No fear in shorting folks There are no buyers Short with both hands
mnywzrd,,2019-02-14 14:17:00,11.221,CLF break into 10s could bring on damagesellers piling on
Golferbob,,2019-02-14 14:07:00,11.225,CLF Earnings day is pretty much gone now Welcome to clf Its not over by the by Just trying to help the new ones The old already know
cchen2783,,2019-02-14 13:55:00,11.23,CLF look for bounce at 1108
Catalystrader,True,2019-02-14 13:52:00,11.229,CLF I am sure LG the new CFO are at work right now preparing an all out assault to rip this to new 52 week highs Old friends do it right
Catalystrader,True,2019-02-14 13:50:00,11.235,CLF I promise you LG is going to do everything to protect the share price here as he kicked the CFO out the door Buyback at fingertips
CMEHUNCHO,True,2019-02-14 13:47:00,11.215,CLF wow what a sell off past week days I wasnt expecting this one
Catalystrader,True,2019-02-14 13:46:00,11.196,CLF enormous buy blocks coming in here at the 8 day ema I see a 500000 share buyer underneath right here
T1ST,,2019-02-14 13:32:00,11.301,CLF think about poor LG he has suffered a pull back of 3 million over the last week
Golferbob,,2019-02-14 13:24:00,11.289,CLF Your down a little over 4for the wk Clf has been gentle but itll get rougher If you dont learn from history you get to repeat it
metalman2,,2019-02-14 13:05:00,11.31,CLF going to squeeze very hard folks
larryzeeman,True,2019-02-14 13:03:00,11.314,CLF 275K dump 1257 didnt move
RagusDogMack,,2019-02-14 12:54:00,11.34,CLF Tom Brady wasnt appreciated as even an above average QB until he won 3 Superbowls Cliffs is like an early career Tom Brady below 12
Catalystrader,True,2019-02-14 12:43:00,11.329,CLF CLF gathering for a run to new highs SHORTSQUEEZE Coming CLF just announced blowout earnings shorts continu
georgeyann,False,2019-02-14 12:16:00,11.295,CLF be careful
Downriver,,2019-02-14 12:05:00,11.313,CLF time to saddle up and ride
BillBear,,2019-02-14 12:00:00,11.295,CLF Ok Ive had enough fun for today Hope I dont have to sleep in the elevator LOL
chiredev,,2019-02-14 12:00:00,11.295,CLF below 1120 puts everyone who bought on ER day and after under water and negates the thesis of ER supporting price
BillBear,,2019-02-14 11:56:00,11.282,CLF The building mgr just called There was a problem with the elevators He said be patient we will have them moving down very soon
metalman2,,2019-02-14 11:46:00,11.289,CLF we may get an afternoon ramp to go into strong week end finish very low short volume and extreme high calls
metalman2,,2019-02-14 11:44:00,11.295,CLF BJ Beekers just like the democrats totally disconnected from reality fake propaganda delusional recommendations brainless comments
RagusDogMack,,2019-02-14 11:42:00,11.294,CLF Seaport Global has 2020 Full Year EPS at 101 They will do that in Q4 alone w Toledo running FU Seaport Tired of the bearishness
metalman2,,2019-02-14 11:36:00,11.299,CLF will run big time tomorrow get your low cost shares today
beekers,,2019-02-14 11:36:00,11.299,CLF Lower Lows Lower Highs This will go on for the next 5 weeks until the tape print 1020
metalman2,,2019-02-14 11:35:00,11.285,CLF BJ Beekers again posting totally fake news shorts are is dire trouble
FuelForTheFurnace,False,2019-02-14 11:26:00,11.273,CLF just peppered the price to knock it down Going lower
Will_Sonnett,,2019-02-14 11:25:00,11.268,CLF a good pairing Long CLF Short LULU
BillBear,,2019-02-14 11:24:00,11.31,CLF Oh good Now were moving again
Golferbob,,2019-02-14 11:22:00,11.34,CLF On the downside a little more of a loss and clf leaves embedded bullish like Ive warned On the plus side most new pumpers seem to
Downriver,,2019-02-14 11:07:00,11.364,CLF yesterday at this time we were 6MM volume Today less than 3
BillBear,,2019-02-14 11:00:00,11.37,CLF Im pushing the down button on the elevator again but its not working I want to get off on floor 12 if I may
beekers,,2019-02-14 10:55:00,11.322,CLF Anyone notice we are back to low volume The shorts that covered after Vale news are now repositioned Drip Drip Drip
BillBear,,2019-02-14 10:49:00,11.331,CLF Including how Brexit is effecting the European economy
beekers,,2019-02-14 10:40:00,11.3,CLF Get used to hearing Slowing Global Growth until a China deal is done
BillBear,,2019-02-14 10:37:00,11.348,CLF and Im on the 35th floor
Downriver,,2019-02-14 10:35:00,11.377,CLF no surprise Vale is green
BillBear,,2019-02-14 10:34:00,11.368,CLF Im getting that sick stomach feeling when Im in an elevator and Ive pushed the button to go down
BillBear,,2019-02-14 10:23:00,11.36,CLF Word is out Were in a Bear Market recession is on the horizon even purchases of gas is down 51 At these prices Wow
IronRangeMTB,,2019-02-14 10:08:00,11.435,CLF the sky is falling THE SKY IS FALLING Why are my holdings holding strong MediaPaid Propaganda
T1ST,,2019-02-14 10:06:00,11.442,CLF remember this is chucks and fines not pellets businessinsidercomauiron
BillBear,,2019-02-14 10:03:00,11.45,CLF This could take awhile like you said Beekers No buyers
BillBear,,2019-02-14 10:00:00,11.469,CLF Alot of triggers happening today and with GS playing around but markets want to go down
Fortal,True,2019-02-14 09:59:00,11.488,CLF We do not want them to go private Long and strong Go LG
Hornerstocks,,2019-02-14 09:57:00,11.495,CLF Probably a dumb question but why would it want to go private
BillBear,,2019-02-14 09:57:00,11.495,CLF Wow I wonder what big trader got GS to let them out from yesterday
T1ST,,2019-02-14 09:56:00,11.507,CLF taking it private will take how long Anyone
T1ST,,2019-02-14 09:54:00,11.453,CLF volume seems way lower
BillBear,,2019-02-14 09:52:00,11.419,CLF Is there a rip back down in the works
Fortal,True,2019-02-14 09:44:00,11.364,CLF Long and Strong LG is working his magic
billybobhumpty,,2019-02-14 09:31:00,11.4,CLF under 11 today but what a buy
