robtheo1420,,2019-02-12 15:59:00,2.441,XXII not a bad close on low volume
jerchess,True,2019-02-12 12:29:00,2.385,XXII ARWR ALNY TNDM DJIA Dr J exuberant in his midday market wrap for 21219 youtubecomwatchvKuBuzog
redmaiden_,,2019-02-12 12:28:00,2.381,XXII no govt shutdown is critical here screw that stupid wall
redmaiden_,,2019-02-12 12:26:00,2.384,XXII my only red in a sea of green late nights need to be more productive Henry
StonedHedge2,,2019-02-12 12:08:00,2.385,XXII looks like ACB is solidifying their relationship with Radient I wonder if Im missing something on their solvent process
StonedHedge2,,2019-02-12 12:02:00,2.39,XXII 220 before 420
Johnmillius,,2019-02-12 11:59:00,2.398,XXII Nathan Schmitt responded my email very quicklysays FDA has accepted our PMTA for filing but has not yet approved it
SoulCrusher99,,2019-02-12 11:57:00,2.395,XXII yup Thats this companys Twitter account alright
BobWylie,,2019-02-12 11:55:00,2.391,XXII httpstwittercomxxiicenturylangen
PostBio,True,2019-02-12 11:39:00,2.395,XXII The view from Henrys perspective when creepy Itchy peeps I hope theres precautions against losers who freak out over a penny stock
Nickalus,True,2019-02-12 11:25:00,2.355,XXII This is a point for purchase to accumulate a strong position if Blackrock the biggest and best continues to buy be excited
Nickalus,True,2019-02-12 11:24:00,2.351,XXII While we are waiting to see the PMTA and the MRTP move through the process with the FDA there will be a lot of days like this
cardinalsong,,2019-02-12 11:19:00,2.355,XXII impossible for this stock to pull off back to back green days
xxiitothemoon,,2019-02-12 11:03:00,2.362,XXII ohh there it is all the way at the bottom of the list
waterwitch,,2019-02-12 11:01:00,2.364,XXII interesting hemp article forbescomsitesandrebourq
stonedguy,,2019-02-12 10:43:00,2.366,XXII buying down Enjoying acb run after earnings for profit today
GrinchBot,,2019-02-12 10:38:00,2.361,XXII Down she goes mfs
treousa,,2019-02-12 10:38:00,2.361,XXII State Street increased position as well nobody believes these lawsuits
roneli66,,2019-02-12 10:34:00,2.365,XXII wake me up next year
xxiitothemoon,,2019-02-12 10:25:00,2.395,XXII just go to 150 already
Nickalus,,2019-02-12 10:19:00,2.399,XXII Ill probably get banned again for saying that last comment
Nickalus,,2019-02-12 10:18:00,2.4,XXII maybe thats just it paid bashers can stay on here no matter what they say but honest investors posting have to be really careful
MrIpo1111,,2019-02-12 10:18:00,2.4,VTVT RGSE INPX ACB CRON TLRY XXII TTNP IMGN GBR HEXO CNET EARS ARLO USAT ABEO SALT ACIU come to VTVT its ready for
Nickalus,,2019-02-12 10:17:00,2.399,XXII fact when they are hearsay at best and insider information at worst he is still here mention a BB stock and your gone in seconds
PostBio,,2019-02-12 10:17:00,2.399,XXII This stock is still a kidyoutubecomwatchvkWkUNf3
Nickalus,,2019-02-12 10:17:00,2.399,XXII I got booted off of here for mentioning a BB company CG sits in here and spreads false rumors over hears conversations and posts
BaronKarza,,2019-02-12 10:16:00,2.4,XXII Im thinking about my next investment Ill be researching what healthtech plays Apple might use when they enter the market Ideas
BaronKarza,,2019-02-12 10:14:00,2.397,XXII I hate chart Mill
ChartMill,,2019-02-12 10:06:00,2.409,XXII has a bad technical rating but it does show a decent setup pattern chartmillcomanalyzephpu
BaronKarza,,2019-02-12 10:04:00,2.404,XXII when this turns its going to turn violently Be warned The hour is near
ev517,,2019-02-12 10:03:00,2.409,XXII hey sophistimication is the other direction
packingpennies,,2019-02-12 10:02:00,2.402,XXII if youre surprised by this youre a moron Sub 220 real soon
redmaiden_,True,2019-02-12 09:57:00,2.405,XXII snoozefest FDA marketing dept needs to step it up
Wingnutstocks,,2019-02-12 09:56:00,2.409,XXII I love watching paint dry
BaronKarza,,2019-02-12 09:54:00,2.404,XXII points to ponder 1 if a deal is done why is Henry working late 2 isnt there a law against stalking in NY 3 what happened here
Johnmillius,,2019-02-12 09:51:00,2.402,XXII one has to wonder why the heck they did not PR the PMTA being accepted for reviewIs it true Do they care about holders
redmaiden_,,2019-02-12 09:49:00,2.403,XXII so did Henrys ex get stock as part of divorce settlement Anyone know if she is dating SwipeRightForStocks
Nickalus,,2019-02-12 09:46:00,2.41,XXII sounds like CG might have a stocking problem he makes comments about how he over hears them in stores and restaurants all the time
cardinalsong,,2019-02-12 09:45:00,2.415,XXII current amount of short interest is pretty crazy
xxiitothemoon,,2019-02-12 09:36:00,2.41,XXII straight up trash action
AustinT,,2019-02-12 09:30:00,2.447,XXII Next conference call Id love for someone to ask Do you now or have you ever played Roller Coaster Tycoon Thats a job for Volks
