superlachy,,2019-06-10 15:55:00,0.21,CEI OMG CEI
ChartMill,,2019-06-10 12:43:00,0.2093,CEI has a Return On Equity of 15405 This is amongst the best returns in the industry chartmillcomanalyzephpu
chuckie609,True,2019-06-10 12:20:00,0.2084,CEI point made
jpstrings,False,2019-06-10 12:13:00,0.2089,CEI Where is that guy who said he invested a small amount of 9000 into cei today 0208200070 325As of 1209PM EDT Market open Must suck seeing you down 3 already
chuckie609,True,2019-06-10 12:12:00,0.2087,CEI plus its easier to be negative in this then to have positive energy its like there here for a reason just to get butt hurt once it
chuckie609,True,2019-06-10 12:11:00,0.2087,CEI facts they cant stop a once its
LickMyBulls,True,2019-06-10 12:10:00,0.2084,CEI over two dollars with merger news is guaranteed
LickMyBulls,True,2019-06-10 12:06:00,0.2088,CEI it is easy to bash cei because it never holds its gains but thats because of the dgf and the c notes Once this deal is finalized they will no longer be able to add an infinite amount of shares to the market
GapHunter,,2019-06-10 12:06:00,0.2088,CEI Testing the 195 support again today and looks to be holding Under 21 looks to be a good buy with SL under the 195 Watchlist
LickMyBulls,True,2019-06-10 12:00:00,0.2089,CEI I know the news will happen either tomorrow nor the next day I am confident in that
LickMyBulls,True,2019-06-10 11:59:00,0.2085,CEI I cant wait this thing could move over 2 dollars with aquistion news easily so many shorts and chasers
LickMyBulls,True,2019-06-10 11:57:00,0.209,CEI these huge moves where companies move like 900 percent in a day Im sure was full of bears knocking it and only the strong willed prevailed and made the most money and didnt have to chase thats whats going to happen here Buyers here will be immensely rewarded with merger news soon
twizzle,True,2019-06-10 11:53:00,0.2084,CEI we goen to win soon going get dreem car zip lining caviar kennith coal watch
LickMyBulls,True,2019-06-10 11:52:00,0.2083,CEI I believe this is where Im meant to be right now
jpstrings,False,2019-06-10 11:49:00,0.2089,CEI 02072 00080 372As of 1145AM EDT Market open
zghorner,,2019-06-10 11:41:00,0.2078,CEI Crude futures jump like 7 over the weekend CEI price dropscool buyers remorse
LickMyBulls,True,2019-06-10 11:41:00,0.2078,CEI he usually does news on Tuesdays so im praying this shit is a deal
Aandeelhouderwint,True,2019-06-10 11:41:00,0.2078,CEI NBY Look bears Such things are possible
LickMyBulls,,2019-06-10 11:36:00,0.2088,CEI bought more today 20 seems like a floor since its been here for weeks just waiting on merger news and itll be a rocketer just hope it actually happens but screw it this is what I believe will happen and if not than ill lose
free2surf,True,2019-06-10 11:26:00,0.2082,CEI Wall Street analysts are projecting we can see that the current consensus target price on shares is 100
twizzle,True,2019-06-10 11:24:00,0.2081,CEI i forget it aint not lemenaid its expiyard cool aid
Galactus16,,2019-06-10 11:22:00,0.2088,CEI all these bulls here Says one thing stock does another Seems like their pumps are not worky lol
JohnDoe1911,,2019-06-10 11:22:00,0.2088,NBY CEI TOPS up 125 I never get these days and I went all in at 98 Stop loss in effect
twizzle,True,2019-06-10 11:20:00,0.2078,CEI im drenken five alive for now on forget this nasty lemenaid it taists like rotton power aid dontbycheeplemenaid
RocknRollTrader,,2019-06-10 11:16:00,0.2089,CEI SCAMBER Energy
twizzle,True,2019-06-10 11:16:00,0.2089,CEI just drank some bad lemenaid dontbycheepleminaid
breaking_stocks,,2019-06-10 11:09:00,0.2099,CEI described at alphafinewscomearningsre
KBrown37,,2019-06-10 11:05:00,0.2101,CEI Funny how a stock can BEAR ITS OWN COMANY WHAT A JOKE
GabeTour,True,2019-06-10 11:04:00,0.2101,Move from CEI to NBY
jpstrings,False,2019-06-10 10:57:00,0.2107,CEI 02095 00057 26487As of 1051AM EDT Market open
LickMyBulls,,2019-06-10 10:54:00,0.2101,CEI sigh
SabansNut,True,2019-06-10 10:51:00,0.2095,CEI hopefully the merger is finalized this week
Ahri,False,2019-06-10 10:50:00,0.2102,CEI just hope the complience news didnt suck more people in to give their hard earned money to the management trash here
ac1226,,2019-06-10 10:27:00,0.2118,CEI I dont expect news this week guys not trying to be negative there is just a lot of paperwork and stuff still to be finished to finish this lineal deal
Aandeelhouderwint,True,2019-06-10 10:17:00,0.2135,CEI What is better News monday pm or ah
julien25,,2019-06-10 10:17:00,0.2135,CEIPED went from 031 to 444 in 2 days everything is possible
GabeTour,True,2019-06-10 10:16:00,0.2123,PRVB bring profit to CEI have merger coming
SabansNut,,2019-06-10 10:15:00,0.2142,CEI took a small 9k position
GabeTour,True,2019-06-10 09:57:00,0.2151,NBY jumped from32 cents to over 1 so is possible with CEIPRVB jumped 220 so is possible with CEI
Teambio,,2019-06-10 09:55:00,0.2111,CEI SqzzRadar Rgonz1222 JAMES2052 mantus SmallTymer LickMyBulls To the proud and bullish CEI team Since you all are so sure of CEI post your average to show these new bulls where you stand You arent ashamed are you
jpstrings,False,2019-06-10 09:55:00,0.2111,CEI 02089 00063 293As of 954AM EDT Market open
chuckie609,True,2019-06-10 09:54:00,0.2098,CEI newssmoothcom20190610w
stocktowatch7,,2019-06-10 09:50:00,0.2131,CEI here goes on stocksequitycomactivesto
chuckie609,True,2019-06-10 09:39:00,0.2135,CEI big buys coming in level 2 most likely heard about the merge
Bull69Bear,False,2019-06-10 09:38:00,0.2113,CEI Whiny bulls checking for filings on merger news DGF isnt done with you yet
Bonilegend,False,2019-06-10 09:37:00,0.2141,CEI Wheres the frog Did he finally give up pumping this garbage
CMF150,,2019-06-10 09:35:00,0.2107,CEI iborrowdeskcomreportCEI
jpstrings,False,2019-06-10 09:33:00,0.2112,CEI 02116 00036 167As of 933AM EDT Market open
chuckie609,True,2019-06-10 09:33:00,0.2112,CEI
